,,,,,,
,ETF statistics ,,,,Example command:,
,,GOOGLEFINANCE - Google Docs Editors Help,,,,"GOOGLEFINANCE(""NASDAQ:GOOG"", ""price"", DATE(2014,1,1), DATE(2014,12,31), ""DAILY"")

"
,,Date,Price (Closing),,,
,,Date,Close,,"if we're want historical data for all the ETFs on some big list we compile from Morningstar or Google or wherever,  we can use Sheets' functions to ""for-each"" through all of em and put all the data in Sheets properly",
,,1/3/2000 16:00:00,94.81,,,
,,1/4/2000 16:00:00,88.01,,,
,,1/5/2000 16:00:00,86.25,,,
,,1/6/2000 16:00:00,81.66,,,
,,1/7/2000 16:00:00,87.99,,,
,,1/10/2000 16:00:00,93.06,,,
,,1/11/2000 16:00:00,88.19,,,
,,1/12/2000 16:00:00,86.47,,,
,,1/13/2000 16:00:00,90.22,,,
,,1/14/2000 16:00:00,92.75,,,
,,1/18/2000 16:00:00,94.09,,,
,,1/19/2000 16:00:00,95.19,,,
,,1/20/2000 16:00:00,95.75,,,
,,1/21/2000 16:00:00,96.25,,,
,,1/24/2000 16:00:00,91.23,,,
,,1/25/2000 16:00:00,94,,,
,,1/26/2000 16:00:00,90.47,,,
,,1/27/2000 16:00:00,90.26,,,
,,1/28/2000 16:00:00,85.94,,,
,,1/31/2000 16:00:00,89.69,,,
,,2/1/2000 16:00:00,92.34,,,
,,2/2/2000 16:00:00,92.56,,,
,,2/3/2000 16:00:00,96.5,,,
,,2/4/2000 16:00:00,96.91,,,
,,2/7/2000 16:00:00,98.23,,,
,,2/8/2000 16:00:00,101.63,,,
,,2/9/2000 16:00:00,98.81,,,
,,2/10/2000 16:00:00,102.22,,,
,,2/11/2000 16:00:00,98.95,,,
,,2/14/2000 16:00:00,99.36,,,
,,2/15/2000 16:00:00,100.25,,,
,,2/16/2000 16:00:00,99.94,,,
,,2/17/2000 16:00:00,102,,,
,,2/18/2000 16:00:00,98.87,,,
,,2/22/2000 16:00:00,98.57,,,
,,2/23/2000 16:00:00,104.26,,,
,,2/24/2000 16:00:00,106.8,,,
,,2/25/2000 16:00:00,104.46,,,
,,2/28/2000 16:00:00,103.66,,,
,,2/29/2000 16:00:00,106.75,,,
,,3/1/2000 16:00:00,107.59,,,
,,3/2/2000 16:00:00,105.13,,,
,,3/3/2000 16:00:00,111.13,,,
,,3/6/2000 16:00:00,111.94,,,
,,3/7/2000 16:00:00,109.44,,,
,,3/8/2000 16:00:00,111.03,,,
,,3/9/2000 16:00:00,114.75,,,
,,3/10/2000 16:00:00,114.63,,,
,,3/13/2000 16:00:00,111.19,,,
,,3/14/2000 16:00:00,106,,,
,,3/15/2000 16:00:00,102.75,,,
,,3/16/2000 16:00:00,108.63,,,
,,3/17/2000 16:00:00,110.94,,,
,,3/20/2000 16:00:00,106.77,,,
,,3/22/2000 16:00:00,114.11,,,
,,3/23/2000 16:00:00,116.61,,,
,,3/24/2000 16:00:00,118,,,
